uid,Course module viewed,Course viewed,User graded,HotPot attempt submitted,HotPot attempt started,Discussion viewed,Chapter viewed,Discussion subscription created,Discussion created,Some content has been posted.,Entry updated,User profile viewed,Post created,Post deleted,Course module completion updated,Grade user report viewed,Grade overview report viewed,Quiz attempt viewed,Quiz attempt started,Quiz attempt reviewed,Quiz attempt submitted,Quiz attempt summary viewed,Choice made,Post updated,Course user report viewed,Journal entry created
10020,188,165,50,50,52,76,19,3,3,9,3,1,6,1,49,15,4,1,1,1,1,1,1,0,0,0
10021,216,181,55,56,61,114,16,1,3,15,5,1,5,0,63,32,3,1,1,1,1,1,1,7,0,0
10022,191,146,65,77,84,52,6,3,4,11,3,0,5,0,47,0,0,1,1,0,0,1,1,2,24,0
10023,130,94,9,8,13,60,6,0,4,6,2,3,2,0,18,1,1,1,1,1,1,1,2,0,1,1
10024,124,88,48,51,52,39,12,2,3,10,3,0,7,0,48,22,0,1,1,1,1,1,1,0,0,0
10025,165,138,49,55,56,68,7,0,1,4,4,1,3,0,35,19,1,1,1,1,1,1,1,0,3,0
10026,263,221,66,72,79,185,28,3,3,9,3,1,5,0,61,16,1,0,0,0,0,0,1,1,0,0
10027,169,125,28,32,34,31,9,1,2,7,3,1,4,0,53,9,2,1,1,1,1,1,1,1,4,0
10028,90,59,4,4,7,25,9,2,4,9,3,0,5,0,21,0,0,0,0,0,0,0,1,0,0,0
10029,230,189,76,76,77,59,8,3,4,10,3,2,5,0,58,11,0,2,1,1,1,1,1,1,0,0
10030,202,131,65,78,84,55,19,2,3,11,4,4,5,0,58,70,1,0,0,0,0,0,1,3,0,0
10031,263,154,39,42,48,99,27,2,3,7,3,0,4,0,46,2,1,2,2,2,2,2,1,0,0,0
10032,261,216,113,120,121,72,22,3,3,12,5,1,7,0,60,0,0,2,1,1,1,2,1,2,59,0
10033,153,135,57,61,66,77,4,2,2,7,3,2,5,0,60,0,0,1,1,1,1,1,1,0,0,0
10034,58,50,22,21,21,18,1,0,3,5,0,0,2,0,11,6,1,1,1,1,1,1,1,0,0,0
10035,31,20,2,2,2,27,0,2,2,7,0,0,4,0,6,0,0,0,0,0,0,0,0,1,0,0
10036,89,75,4,4,5,73,4,3,5,10,2,1,4,0,13,6,0,0,0,0,0,0,1,1,0,1
10037,198,157,41,45,49,81,18,0,3,7,2,4,4,0,38,0,0,0,0,0,0,0,1,0,24,0
10038,191,107,24,27,48,51,8,0,2,12,3,1,4,0,35,9,1,0,0,0,0,0,1,6,1,0
10039,335,305,93,106,109,181,12,0,3,13,2,1,7,0,61,60,3,1,1,1,1,1,1,3,1,0
10040,202,182,67,78,91,77,14,0,1,6,3,6,4,0,57,6,2,2,1,1,1,2,1,1,0,0
10041,249,200,55,46,46,71,29,0,4,9,4,1,5,0,31,68,13,10,10,10,10,10,1,0,0,0
10042,144,105,47,49,50,28,13,1,3,6,3,2,3,0,55,38,0,1,1,1,1,1,1,0,0,0
10043,150,121,12,12,12,68,7,1,3,13,1,5,5,1,17,7,1,0,0,0,0,0,2,5,0,0
10044,111,101,2,2,2,53,2,0,1,3,3,0,2,0,12,4,0,0,0,0,0,0,2,0,0,0
10045,261,179,83,96,106,59,20,0,1,8,4,0,5,0,44,12,4,2,2,3,2,2,1,2,4,0
10046,134,128,28,31,32,67,6,1,3,10,4,2,7,0,24,22,0,0,0,0,0,0,1,0,0,0
10047,434,280,154,162,181,132,30,0,2,8,5,1,5,0,78,27,2,4,2,2,2,2,1,1,0,0
10048,77,60,10,11,12,23,1,0,1,7,3,4,5,0,16,1,0,2,1,0,0,0,0,1,0,0
10049,56,50,4,4,4,27,0,0,3,6,2,3,3,0,8,3,1,0,0,0,0,0,2,0,0,0
10050,140,117,34,38,40,49,3,2,5,9,3,1,4,0,46,0,0,1,1,1,1,1,1,0,11,0